Accession,Protein_Name,Gene_symbol,Protein_Type,Sperm_Location,Caput,NC_Cauda,CORE,NegLog10_p_value,FC
A2ARP9,Cation channel sperm-associated protein 2,Catsper2,Ion channel,Flagellum,Yes,Yes,Yes,3.718,0.809
A2ARV4,Low-density lipoprotein receptor-related protein 2,Lrp2,Transporter,,Yes,Yes,Yes,4.035,-1.877
A2ARZ3,Fibrous sheath-interacting protein 2,Fsip2,,Mid-piece,Yes,Yes,Yes,1.991,0.207
A2ASA8,"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1",Itpripl1,,,Yes,Yes,Yes,2.247,0.443
A2ASQ1,Agrin,Agrn,,,Yes,,,,
A2ASS6,Titin,Ttn,Kinase,Nucleus,Yes,,,,
A2ASZ8,Calcium-binding mitochondrial carrier protein SCaMC-2,Slc25a25,Transporter,Mitochondria,Yes,Yes,Yes,1.327,0.358
A2AT37,Regulator of nonsense transcripts 2,Upf2,,Nucleus,Yes,,,,
A2ATU0,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",Dhtkd1,Enzyme,,Yes,Yes,Yes,3.3,-0.738
A2AU72,Armadillo repeat-containing protein 3,Armc3,,,Yes,Yes,Yes,2.813,0.323
A2AU72-2,Isoform 2 of Armadillo repeat-containing protein 3,Armc3,,,,Yes,,,
A2AVQ5,Lymphocyte expansion molecule,Lexm,,,Yes,Yes,Yes,3.791,0.543
A2AVR2,Maestro heat-like repeat-containing protein family member 7,Mroh7,,,Yes,Yes,Yes,3.235,-0.452
A2AWA9,Rab GTPase-activating protein 1,Rabgap1,,,Yes,,,,
A2AWL7,MAX gene-associated protein,Mga,Transcription regulator,Nucleus,Yes,,,,
A2AX52,Collagen alpha-4(VI) chain,Col6a4,,,Yes,,,,
A2BDX3,Adenylyltransferase and sulfurtransferase MOCS3,Mocs3,Enzyme,,Yes,,,,
A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,,Nucleus,Yes,,,,
A2BH40,AT-rich interactive domain-containing protein 1A,Arid1a,Transcription regulator,Nucleus,Yes,,,,
A2CG63,AT-rich interactive domain-containing protein 4B,Arid4b,Transcription regulator,Nucleus,Yes,,,,
A2RRY8-2,Isoform 2 of Spermatogenesis-associated serine-rich protein 1,Spats1,,,,Yes,,,
A2RSJ4,UHRF1-binding protein 1-like,Uhrf1bp1l,,,Yes,,,,
A2RSQ1,Beta-galactosidase-1-like protein 3,Glb1l3,Enzyme,,,Yes,,,
A2RSX4,Protein STPG3,Stpg3,,,Yes,Yes,Yes,2.849,0.738
A2RSX7,tRNA wybutosine-synthesizing protein 5,Tyw5,Enzyme,,,Yes,,,
A2RSY6,TRMT1-like protein,Trmt1l,Enzyme,Nucleus,Yes,,,,
A2RT91,Ankyrin and armadillo repeat-containing protein,Ankar,Transcription regulator,,Yes,Yes,Yes,1.282,1.122
A2RTF1,Cation channel sperm-associated protein subunit beta,Catsperb,,,Yes,Yes,Yes,3.429,0.538
A3FIN4,Phospholipid-transporting ATPase FetA,Atp8b5,Transporter,Acrosome,,Yes,,,
A3KFM7,Chromodomain-helicase-DNA-binding protein 6,Chd6,Enzyme,Nucleus,Yes,,,,
A3KGB4,TBC1 domain family member 8B,Tbc1d8b,,,Yes,,,,
A3KGV1,Outer dense fiber protein 2,Odf2,,Flagellum,Yes,Yes,Yes,0.99,-0.122
A3KGV1-6,Isoform 6 of Outer dense fiber protein 2,Odf2,,Flagellum,Yes,Yes,Yes,2.7,0.608
A3KMP2,Tetratricopeptide repeat protein 38,Ttc38,,,Yes,,,,
A4FUP9,Glycosyltransferase 1 domain-containing protein 1,Glt1d1,Enzyme,,Yes,Yes,Yes,2.185,1.216
A6H584,Collagen alpha-5(VI) chain,Col6a5,,,Yes,,,,
A6H5Y3,Methionine synthase,Mtr,Enzyme,,Yes,,,,
A6H5Z3,Exocyst complex component 6B,Exoc6b,,,Yes,,,,
A6H611,Mitochondrial intermediate peptidase,Mipep,Peptidase,Mitochondria,Yes,Yes,Yes,2.123,-0.319
A6H619,PHD and RING finger domain-containing protein 1,Phrf1,,,Yes,,,,
A6H630,Damage-control phosphatase ARMT1,Armt1,Enzyme,,Yes,Yes,Yes,3.687,0.501
A6H639,Dynein regulatory complex subunit 5,Tcte1,,Axoneme,Yes,Yes,Yes,0.25,0.109
A6H690,IQ and AAA domain-containing protein 1-like,Iqca1l,,,Yes,Yes,Yes,0.401,-0.205
A6H694,Leucine-rich repeat-containing protein 63,Lrrc63,Transcription regulator,,Yes,Yes,Yes,4.061,1.27
A6H6A4,Leucine-rich repeat and IQ domain-containing protein 4,Lrriq4,,,Yes,Yes,Yes,3.335,0.831
A6H6Q4,Uncharacterized protein C19orf71 homolog,,,,Yes,Yes,Yes,2.05,0.367
A6H6T1,Serine protease 40,Prss40,Peptidase,Acrosome,,Yes,,,
A6H8H2,DENN domain-containing protein 4C,Dennd4c,,,Yes,,,,
A6PWD2,Forkhead-associated domain-containing protein 1,Fhad1,,,Yes,Yes,Yes,1.263,0.569
A6PWV3,Izumo sperm-egg fusion protein 3,Izumo3,,,Yes,Yes,Yes,1.009,0.345
A6X8Z9,Testis-specific expressed protein 55,Tex55,,Nucleus,Yes,Yes,Yes,2.696,0.354
A6X919,Probable C-mannosyltransferase DPY19L1,Dpy19l1,,,Yes,Yes,Yes,0.751,0.154
A7RDN6,Renalase,Rnls,Enzyme,,Yes,Yes,Yes,1.817,0.223
A8C756,Thyroid adenoma-associated protein homolog,Thada,,,Yes,,,,
A8Y5H7,SEC14-like protein 1,Sec14l1,Transporter,,Yes,,,,
A9Q751,Cilia- and flagella-associated protein 221,Cfap221,,Axoneme,Yes,Yes,Yes,4.44,1.446
B0QZF7,Protein PROCA1,Proca1,,,Yes,Yes,Yes,1.547,1.465
B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,Peptidase,Nucleus,Yes,,,,
B1AUE5,Peroxisome biogenesis factor 10,Pex10,,,Yes,,,,
B1AVZ0,Uracil phosphoribosyltransferase homolog,Uprt,Enzyme,Nucleus,Yes,,,,
B1AXP6,Mitochondrial import receptor subunit TOM5 homolog ,Tomm5,,Mitochondria,,,,,
B1AY13,Ubiquitin carboxyl-terminal hydrolase 24,Usp24,Peptidase,Nucleus,Yes,,,,
B1AZA5,Transmembrane protein 245,Tmem245,,,Yes,,,,
B1AZI6,THO complex subunit 2,Thoc2,,Nucleus,Yes,,,,
B1AZP2,Disks large-associated protein 4,Dlgap4,,,Yes,,,,
B2RQC6,CAD protein,Cad,Enzyme,Nucleus,Yes,,,,
B2RR83,3'-5' RNA helicase YTHDC2,Ythdc2,Enzyme,Nucleus,Yes,,,,
B2RRD7,Peregrin,Brpf1,Transporter,Nucleus,Yes,,,,
B2RRE7,OTU domain-containing protein 4,Otud4,Peptidase,Nucleus,Yes,,,,
B2RSH2,Guanine nucleotide-binding protein G(i) subunit alpha-1,Gnai1,Enzyme,Nucleus,Yes,,,,
B2RW38,Cilia- and flagella-associated protein 58,Cfap58,,Mid-piece,Yes,Yes,Yes,2.633,0.384
B2RWS6,Histone acetyltransferase p300,Ep300,Transcription regulator,Nucleus,Yes,,,,
B2RX12,Canalicular multispecific organic anion transporter 2,Abcc3,Transporter,,Yes,,,,
B2RX88,Centrosome and spindle pole associated protein 1,Cspp1,,,Yes,Yes,Yes,2.441,0.622
B2RXC1,Trafficking protein particle complex subunit 11,Trappc11,,,Yes,Yes,Yes,1.737,-1.167
B2RXS4,Plexin-B2,Plxnb2,Transmembrane receptor,,Yes,Yes,Yes,4.206,-2.135
B2RY50,Armadillo repeat-containing protein 4,Armc4,,Axoneme,Yes,Yes,Yes,2.163,0.266
B2RY56,RNA-binding protein 25,Rbm25,,Nucleus,Yes,Yes,Yes,4.553,-2.206
B7ZMP1,Xaa-Pro aminopeptidase 3,Xpnpep3,Peptidase,Mitochondria,Yes,Yes,Yes,2.362,-0.309
B9EJ80,PDZ domain-containing protein 8,Pdzd8,,Mitochondria,Yes,Yes,Yes,3.488,-1.03
B9EJ86,Oxysterol-binding protein-related protein 8,Osbpl8,Transporter,Nucleus,Yes,,,,
B9EJR8,"Dynein assembly factor 5, axonemal",Dnaaf5,,,Yes,,,,
B9EJX3,Protein ATP6V1FNB,ATp6v1fnb,,,Yes,Yes,Yes,2.83,0.405
B9EKE5,Ciliogenesis-associated TTC17-interacting protein,Catip,,Nucleus,Yes,Yes,Yes,2.565,0.805
B9EKI3,TATA element modulatory factor,Tmf1,Transcription regulator,Nucleus,Yes,,,,
C0HK80,Adipocyte-related X-chromosome expressed sequence 2,Arxes2,,,Yes,,,,
C0HKD1,Protein FAM205A-2,Fam205a2,,,Yes,Yes,Yes,1.521,0.261
C0HKD9,Microfibrillar-associated protein 1B,Mfap1b,,Nucleus,Yes,,,,
C0HKG5,Ribonuclease T2-A,Rnaset2a,Enzyme,Mitochondria,Yes,Yes,Yes,4.05,-1.808
C4P6S0,Sperm head and tail associated protein,Nsun4,Enzyme,Nucleus; Mitochondria,Yes,Yes,Yes,1.41,0.152
C6KI89,Cation channel sperm-associated protein subunit gamma 2,Catsperg2,,,Yes,Yes,Yes,2.15,0.452
D0G895,Angiotensin-converting enzyme-like protein Ace3,Ace3,,Acrosome,Yes,Yes,Yes,2.732,0.473
D3YVL2,Cilia- and flagella-associated protein 70,Cfap70,,Axoneme,Yes,Yes,Yes,1.805,0.383
D3YXK2,Scaffold attachment factor B1,Safb,,Nucleus,Yes,Yes,Yes,2.025,-1.359
D3YZG8,Probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2,Mthfd2l,Enzyme,Mitochondria,,Yes,,,
D3YZP9,Coiled-coil domain-containing protein 6,Ccdc6,,,Yes,Yes,Yes,3.23,-1.734
D3Z070,Putative uncharacterized protein C19orf81 homolog,,,,,Yes,,,
D3Z0R2,Protein phosphatase 1 regulatory subunit 36,Ppp1r36,,,Yes,Yes,Yes,2.374,0.49
D3Z4S3,Putative peptidyl-tRNA hydrolase PTRHD1,Ptrhd1,,,Yes,,,,
D3Z690,Izumo sperm-egg fusion protein 4,Izumo4,,,Yes,Yes,Yes,1.966,0.193
D3Z6Q9,Bridging integrator 2,Bin2,,,Yes,Yes,Yes,0.006,-0.002
D3Z6S9,Glutamate-rich protein 6,Erich6,,,,Yes,,,
D3Z750,Maestro heat-like repeat-containing protein family member 2A,Mroh2a,,,Yes,,,,
D3Z7P3,"Glutaminase kidney isoform, mitochondrial",Gls,Enzyme,Mitochondria,Yes,,,,
D3Z7P3-2,"Isoform 2 of Glutaminase kidney isoform, mitochondrial",Gls,Enzyme,Mitochondria,Yes,,,,
E2JF22,Piezo-type mechanosensitive ion channel component 1,Piezo1,Ion channel,,Yes,,,,
E9PV24,Fibrinogen alpha chain,Fga,,,Yes,,,,
E9PVA8,eIF-2-alpha kinase activator GCN1,Gcn1,Translation regulator,,Yes,Yes,Yes,4.376,-1.069
E9PVB3,Coiled-coil domain-containing protein 175,Ccdc175,,,,Yes,,,
E9PVB5,Tetratricopeptide repeat protein 17,Ttc17,,,Yes,,,,
E9PX95,ATP-binding cassette sub-family A member 17,Abca17,,,Yes,Yes,Yes,3.954,1.26
E9PXF8,Myotubularin-related protein 13,Sbf2,,,Yes,,,,
E9PXT9,Protein FAM170B,Fam170b,,Acrosome,Yes,Yes,Yes,2.905,0.851
E9PY46,Intraflagellar transport protein 140 homolog,Ift140,,Axoneme,Yes,,,,
E9PYH6,Histone-lysine N-methyltransferase SETD1A,Setd1a,Ion channel,Nucleus,Yes,,,,
E9PYK3,Protein mono-ADP-ribosyltransferase PARP4,Parp4,Enzyme,Nucleus,Yes,,,,
E9PYQ0,Radial spoke head 10 homolog B,Rsph10b,,,Yes,Yes,Yes,4.146,0.731
E9PYY5,WD repeat-containing protein 78,Wdr78,,Axoneme,Yes,Yes,Yes,2.866,0.536
E9PZJ8,Activating signal cointegrator 1 complex subunit 3,Ascc3,Enzyme,Nucleus,Yes,,,,
E9PZM4,Chromodomain-helicase-DNA-binding protein 2,Chd2,Enzyme,Nucleus,Yes,,,,
E9Q173,BTB/POZ domain-containing protein 16,Btbd16,,,Yes,Yes,Yes,3.11,1.035
E9Q1P8,Interferon regulatory factor 2-binding protein 2,Irf2bp2,Transcription regulator,Nucleus,Yes,,,,
E9Q394,A-kinase anchor protein 13,Akap13,,Nucleus,Yes,,,,
E9Q3E1,Aldehyde dehydrogenase family 3 member B2,Aldh3b2,Enzyme,,Yes,Yes,Yes,1.878,-1.524
E9Q3L2,Phosphatidylinositol 4-kinase alpha,Pi4ka,Kinase,,Yes,,,,
E9Q4N7,AT-rich interactive domain-containing protein 1B,Arid1b,Transcription regulator,Nucleus,Yes,,,,
E9Q4P1,WD repeat and FYVE domain-containing protein 1,Wdfy1,,Nucleus,Yes,,,,
E9Q555,E3 ubiquitin-protein ligase RNF213,Rnf213,Enzyme,,Yes,,,,
E9Q557,Desmoplakin,Dsp,,,Yes,Yes,Yes,3.041,-2.202
E9Q5C9,Nucleolar and coiled-body phosphoprotein 1,Nolc1,,Nucleus,Yes,,,,
E9Q5F9,Histone-lysine N-methyltransferase SETD2,Setd2,Enzyme,Nucleus,Yes,,,,
E9Q5K9,YTH domain-containing protein 1,Ythdc1,,Nucleus,Yes,,,,
E9Q5M6,Cilia- and flagella-associated protein 44,Cfap44,,Axoneme,Yes,Yes,Yes,4.419,1.128
E9Q634,Unconventional myosin-Ie,Myo1e,Enzyme,,Yes,,,,
E9Q649,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4",Gcnt4,Enzyme,,Yes,,,,
E9Q6J5,Biorientation of chromosomes in cell division protein 1-like 1,Bod1l,,,Yes,,,,
E9Q735,Ubiquitin conjugation factor E4 A,Ube4a,Enzyme,Nucleus,Yes,Yes,Yes,2.417,0.355
E9Q743,Cilia- and flagella-associated protein 251,Cfap251,,Axoneme,Yes,Yes,Yes,3.35,0.413
E9Q784,Zinc finger CCCH domain-containing protein 13,Zc3h13,,Nucleus,Yes,,,,
E9Q7E2,AT-rich interactive domain-containing protein 2,Arid2,Transcription regulator,Nucleus,Yes,,,,
E9Q7F5,Epididymal protein 13,Eddm13,,,,Yes,,,
E9Q7G0,Nuclear mitotic apparatus protein 1,Numa1,,Nucleus,Yes,Yes,Yes,5.713,-2.518
E9Q7R9,Cilia- and flagella-associated protein 43,Cfap43,,Axoneme,Yes,Yes,Yes,3.117,0.506
E9Q8I9,Protein furry homolog,Fry,,,Yes,,,,
E9Q8Q8,Sperm acrosome membrane-associated protein 6,Spaca6,,Acrosome,Yes,Yes,Yes,1.655,0.448
E9Q8T2,PR domain zinc finger protein 15,Prdm15,Transcription regulator,Nucleus,Yes,,,,
E9Q8T7,"Dynein heavy chain 1, axonemal",Dnah1,,Axoneme,Yes,Yes,Yes,1.553,0.163
E9Q9F6,Cation channel sperm-associated protein subunit delta,Catsperd,,Flagellum,Yes,Yes,Yes,3.683,0.764
E9Q9R9,Disks large homolog 5,Dlg5,,,Yes,,,,
E9QAF0,Spermatogenesis-associated protein 31,Spata31,,Acrosome,Yes,Yes,Yes,3.095,0.623
E9QAT4,Protein transport protein Sec16A,Sec16a,Phosphatase,,Yes,,,,
E9QMW4,Uncharacterized protein C16orf96 homolog,,,,Yes,Yes,Yes,1.533,0.988
F2Z472,Seminal vesicle secretory protein 3A,Svs3a,,,Yes,,,,
F6ULY1,WAP four-disulfide core domain protein 6B,Wfdc6b,,,Yes,Yes,Yes,1.897,0.824
F6XZJ7,Sterile alpha motif domain-containing protein 15,Samd15,,,Yes,Yes,Yes,4.879,0.805
F6ZDS4,Nucleoprotein TPR,Tpr,,Nucleus,Yes,Yes,Yes,5.877,-2.446
F7BWT7,Tetraspanin-15,Tspan15,,,Yes,,,,
F8VPQ2,AT-rich interactive domain-containing protein 4A,Arid4a,Transcription regulator,Nucleus,Yes,,,,
F8VPU2,"FERM, ARHGEF and pleckstrin domain-containing protein 1",Farp1,,,Yes,,,,
F8VPZ9,BRD4-interacting chromatin-remodeling complex-associated protein,Bicra,Transcription regulator,Nucleus,Yes,,,,
F8VQ03,A disintegrin and metallopeptidase domain 3,Adam3,Peptidase,Acrosome,Yes,Yes,Yes,0.004,-0.001
G3UYX5,Regulator of G-protein signaling 22,Rgs22,,Nucleus,Yes,Yes,Yes,2.167,0.391
G3UZ78,Androglobin,Adgb,,,Yes,Yes,Yes,3.054,0.519
G3X9K3,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,Arfgef1,,Nucleus,Yes,Yes,Yes,4.35,-1.034
G5E829,Plasma membrane calcium-transporting ATPase 1,Atp2b1,Transporter,,Yes,,,,
G5E870,E3 ubiquitin-protein ligase TRIP12,Trip12,Enzyme,Nucleus,Yes,,,,
G5E897,Protein O-glucosyltransferase 3,Poglut3,,,Yes,,,,
G5E8A8,Tektin-5,Tekt5,,Axoneme,Yes,Yes,Yes,1.76,0.168
G5E8B9,Zinc finger and BTB domain-containing protein 11,Zbtb11,,Nucleus,Yes,,,,
G5E8F4,Fucose-1-phosphate guanylyltransferase,Fpgt,Enzyme,,Yes,,,,
G5E8K5,Ankyrin-3,Ank3,,,Yes,Yes,Yes,5.058,-1.496
G5E8P1,Bromodomain-containing protein 1,Brd1,,Nucleus,Yes,,,,
J3QM76,Coiled-coil domain-containing protein 179,Ccdc179,,,,Yes,,,
O08528,Hexokinase-2,Hk2,Kinase,Mitochondria,Yes,,,,
O08529,Calpain-2 catalytic subunit,Capn2,Peptidase,Nucleus; Mitochondria,Yes,,,,
O08539,Myc box-dependent-interacting protein 1,Bin1,,Nucleus,Yes,,,,
O08547,Vesicle-trafficking protein SEC22b,Sec22b,,,Yes,Yes,Yes,3.771,-0.904
O08553,Dihydropyrimidinase-related protein 2,Dpysl2,Enzyme,,Yes,,,,
O08579,Emerin,Emd,,Nucleus,Yes,Yes,Yes,3.636,-1.549
O08581,Potassium channel subfamily K member 1,Kcnk1,Ion channel,,Yes,,,,
O08582,GTP-binding protein 1,Gtpbp1,Enzyme,,Yes,,,,
O08583,THO complex subunit 4,Alyref,,Nucleus,Yes,,,,
O08585,Clathrin light chain A,Clta,,,Yes,Yes,Yes,3.503,-1.334
O08586,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN ",Pten,,Nucleus,,,,,
O08599,Syntaxin-binding protein 1,Stxbp1,Transporter,Nucleus,Yes,,,,
O08600,"Endonuclease G, mitochondrial",Endog,Enzyme,Nucleus; Mitochondria,Yes,,,,
O08601,Microsomal triglyceride transfer protein large subunit,Mttp,Transporter,,Yes,Yes,Yes,3.972,-1.608
O08638,Myosin-11,Myh11,,,Yes,,,,
O08663,Methionine aminopeptidase 2,Metap2,Peptidase,,Yes,Yes,Yes,4.611,-1.577
O08688,Calpain-5,Capn5,Peptidase,,Yes,Yes,Yes,1.59,-1.97
O08691,"Arginase-2, mitochondrial",Arg2,Enzyme,,Yes,Yes,Yes,3.048,-1.478
O08709,Peroxiredoxin-6,Prdx6,Enzyme,Nucleus,Yes,Yes,Yes,2.829,-0.715
O08716,Fatty acid-binding protein 9,Fabp9,Transporter,,Yes,Yes,Yes,0.735,-0.082
O08734,Bcl-2 homologous antagonist/killer,Bak1,,Mitochondria,Yes,Yes,Yes,4.908,-1.585
O08738,Caspase-6,Casp6,Peptidase,Nucleus,Yes,,,,
O08740,DNA-directed RNA polymerase II subunit RPB11,Polr2j,Enzyme,Nucleus,Yes,,,,
O08749,"Dihydrolipoyl dehydrogenase, mitochondrial",Dld,Enzyme,Acrosome; Nucleus; Mitochondria; Flagellum,Yes,Yes,Yes,0.329,0.042
O08756,3-hydroxyacyl-CoA dehydrogenase type-2,Hsd17b10,Enzyme,Mitochondria,Yes,Yes,Yes,3.02,-0.603
O08759,Ubiquitin-protein ligase E3A,Ube3a,Enzyme,Nucleus,Yes,Yes,Yes,0.923,0.068
O08784,Treacle protein,Tcof1,Transporter,Nucleus,Yes,,,,
O08785,Circadian locomoter output cycles protein kaput,Clock,Transcription regulator,Nucleus,Yes,,,,
O08788,Dynactin subunit 1,Dctn1,,Nucleus,Yes,Yes,Yes,4.912,-2.562
O08795,Glucosidase 2 subunit beta,Prkcsh,Enzyme,,Yes,Yes,Yes,3.37,-1.417
O08807,Peroxiredoxin-4,Prdx4,Enzyme,,Yes,Yes,Yes,3.97,-1.245
O08808,Protein diaphanous homolog 1,Diaph1,,Nucleus,Yes,,,,
O08810,116 kDa U5 small nuclear ribonucleoprotein component,Eftud2,Enzyme,Nucleus,Yes,Yes,Yes,4.755,-2.527
O08811,General transcription and DNA repair factor IIH helicase subunit XPD,Ercc2,Enzyme,Nucleus,Yes,,,,
O08832,Polypeptide N-acetylgalactosaminyltransferase 4,Galnt4,Enzyme,,Yes,,,,
O08848,60 kDa SS-A/Ro ribonucleoprotein,RO60,,Nucleus,Yes,,,,
O08912,Polypeptide N-acetylgalactosaminyltransferase 1,Galnt1,Enzyme,,Yes,Yes,Yes,3.45,-2.303
O08914,Fatty-acid amide hydrolase 1,Faah,Enzyme,,Yes,Yes,Yes,3.568,-0.466
O08915,AH receptor-interacting protein,Aip,Transcription regulator,,Yes,Yes,Yes,5.182,-1.25
O08917,Flotillin-1,Flot1,,,Yes,Yes,Yes,1.597,-1.102
O08992,Syntenin-1,Sdcbp,Enzyme,Nucleus,Yes,,,,
O08997,Copper transport protein ATOX1,Atox1,Transporter,,Yes,Yes,Yes,4.516,-1.418
O09000,Nuclear receptor coactivator 3,Ncoa3,Transcription regulator,Nucleus,Yes,,,,
O09005,Sphingolipid delta(4)-desaturase DES1,Degs1,Enzyme,Mitochondria,Yes,,,,
O09012,Peroxisomal targeting signal 1 receptor,Pex5,,,Yes,,,,
O09035,Diazepam-binding inhibitor-like 5,Dbil5,,,Yes,Yes,Yes,0.381,0.04
O09043,Napsin-A,Napsa,Peptidase,,Yes,,,,
O09044,Synaptosomal-associated protein 23,Snap23,Transporter,,Yes,Yes,Yes,0.443,-0.125
O09046,L-amino-acid oxidase,Il4i1,Enzyme,Acrosome; Mid-piece,Yes,Yes,Yes,3.404,0.224
O09061,Proteasome subunit beta type-1,Psmb1,Peptidase,Nucleus,Yes,Yes,Yes,0.089,0.01
O09106,Histone deacetylase 1,Hdac1,Transcription regulator,Nucleus,Yes,Yes,Yes,2.591,-1.431
O09110,Dual specificity mitogen-activated protein kinase kinase 3,Map2k3,Kinase,,Yes,,,,
O09111,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",Ndufb11,Enzyme,Mitochondria,Yes,Yes,Yes,1.216,-0.372
O09114,Prostaglandin-H2 D-isomerase,Ptgds,Enzyme,Nucleus,Yes,Yes,Yes,0.239,0.089
O09117,Synaptophysin-like protein 1,Sypl1,Transporter,,Yes,Yes,Yes,0.953,0.138
